original	gatherings	width	height	obl	n
20 x 14 cm.	NA	NA	NA	NA	4
20 x 21 cm.	NA	NA	NA	NA	4
21 x 14 cm.	NA	NA	NA	NA	4
22 x 34 cm.	NA	NA	NA	NA	4
23 x 12 cm.	NA	NA	NA	NA	4
25 x 17 cm.	NA	NA	NA	NA	4
26 x 15 cm.	NA	NA	NA	NA	4
27 x 24 cm.	NA	NA	NA	NA	4
28 x 20 cm.	NA	NA	NA	NA	4
30 x 25 cm.	NA	NA	NA	NA	4
31 x 11 cm.	NA	NA	NA	NA	4
31 x 13 cm.	NA	NA	NA	NA	4
32 x 17 cm.	NA	NA	NA	NA	4
32 x 23 cm.	NA	NA	NA	NA	4
33 x 15 cm.	NA	NA	NA	NA	4
33 x 18 cm.	NA	NA	NA	NA	4
33 x 26 cm.	NA	NA	NA	NA	4
37 x 32 cm.	NA	NA	NA	NA	4
38 x 22 cm.	NA	NA	NA	NA	4
39 x 27 cm.	NA	NA	NA	NA	4
39 x 33 cm.	NA	NA	NA	NA	4
4⁰ ⁸.⁴.	NA	NA	NA	0	4
40 x 34 cm.	NA	NA	NA	NA	4
41 x 35 cm.	NA	NA	NA	NA	4
42 x 31 cm.	NA	NA	NA	NA	4
42 x 32 cm.	NA	NA	NA	NA	4
42-46 cm.	NA	NA	NA	0	4
43 x 25 cm.	NA	NA	NA	NA	4
43 x 30 cm.	NA	NA	NA	NA	4
46 x 30 cm.	NA	NA	NA	NA	4
46 x 35 cm.	NA	NA	NA	NA	4
47 x 30 cm.	NA	NA	NA	NA	4
47 x 36 cm.	NA	NA	NA	NA	4
47 x 37 cm.	NA	NA	NA	NA	4
52 x 41 cm.	NA	NA	NA	NA	4
52 x 42 cm.	NA	NA	NA	NA	4
1/3⁰.	NA	NA	NA	0	3
10 x 15 cm.	NA	NA	NA	NA	3
10 x 16 cm.	NA	NA	NA	NA	3
10 x 20 cm.	NA	NA	NA	NA	3
12 x 22 cm.	NA	NA	NA	NA	3
12 x 8 cm.	NA	NA	NA	NA	3
12.̥	NA	NA	NA	0	3
12$.	NA	NA	NA	0	3
12⁰⁸.⁴.	NA	NA	NA	0	3
13 x 16 cm.	NA	NA	NA	NA	3
13 x 19 cm.	NA	NA	NA	NA	3
14 x 11 cm.	NA	NA	NA	NA	3
14 x 17 cm.	NA	NA	NA	NA	3
15 x 17 cm.	NA	NA	NA	NA	3
16 x 11 cm.	NA	NA	NA	NA	3
16 x 19 cm.	NA	NA	NA	NA	3
17 x 19 cm.	NA	NA	NA	NA	3
17 x 21 cm.	NA	NA	NA	NA	3
18 x 13 cm.	NA	NA	NA	NA	3
18 x 22 cm.	NA	NA	NA	NA	3
19 x 23 cm.	NA	NA	NA	NA	3
19 x 32 cm (2⁰)	NA	NA	NA	NA	3
20 x 12 cm.	NA	NA	NA	NA	3
20 x 25 cm.	NA	NA	NA	NA	3
20 x 26 cm.	NA	NA	NA	NA	3
20 x 33 cm.	NA	NA	NA	NA	3
2⁰; 4⁰.	NA	NA	NA	0	3
21 x 33 cm (2⁰)	NA	NA	NA	NA	3
21 x 34 cm.	NA	NA	NA	NA	3
22 x 15 cm.	NA	NA	NA	NA	3
22 x 19 cm.	NA	NA	NA	NA	3
23 x 13 cm.	NA	NA	NA	NA	3
24 x 14 cm.	NA	NA	NA	NA	3
24 x 17 cm.	NA	NA	NA	NA	3
24 x 18 cm.	NA	NA	NA	NA	3
24 x 21 cm.	NA	NA	NA	NA	3
