original	gatherings	width	height	obl	n
50-54 cm.	NA	NA	NA	0	1
50-56 cm.	NA	NA	NA	0	1
50-59 cm.	NA	NA	NA	0	1
50-60 cm.	NA	NA	NA	0	1
50-64 cm.	NA	NA	NA	0	1
50-76 cm.	NA	NA	NA	0	1
51 x 18 cm.	NA	NA	NA	NA	1
51 x 32 cm.	NA	NA	NA	NA	1
51 x 35 cm.	NA	NA	NA	NA	1
51 x 37 cm.	NA	NA	NA	NA	1
51 x 38 cm.	NA	NA	NA	NA	1
51 x 44 cm.	NA	NA	NA	NA	1
51-54 cm.	NA	NA	NA	0	1
51-58 cm.	NA	NA	NA	0	1
52 x 19 cm.	NA	NA	NA	NA	1
52 x 21 cm.	NA	NA	NA	NA	1
52 x 22 cm.	NA	NA	NA	NA	1
52 x 23 cm.	NA	NA	NA	NA	1
52 x 37 cm.	NA	NA	NA	NA	1
52 x 38 cm.	NA	NA	NA	NA	1
52 x 45 cm.	NA	NA	NA	NA	1
52 x 49 cm.	NA	NA	NA	NA	1
52 x 65 cm.	NA	NA	NA	NA	1
52-55 cm.	NA	NA	NA	0	1
53 x 20 cm.	NA	NA	NA	NA	1
53 x 31 cm.	NA	NA	NA	NA	1
53 x 38 cm.	NA	NA	NA	NA	1
53 x 41 cm.	NA	NA	NA	NA	1
53 x 43.5 cm.	NA	NA	NA	NA	1
53 x 45 cm.	NA	NA	NA	NA	1
53 x 46 cm.	NA	NA	NA	NA	1
53 x 60 cm.	NA	NA	NA	NA	1
53 x 62 cm.	NA	NA	NA	NA	1
54 x 20 cm.	NA	NA	NA	NA	1
54 x 21 cm.	NA	NA	NA	NA	1
54 x 22 cm.	NA	NA	NA	NA	1
54 x 33 cm.	NA	NA	NA	NA	1
54 x 36 cm.	NA	NA	NA	NA	1
54 x 39 cm.	NA	NA	NA	NA	1
54 x 40 cm.	NA	NA	NA	NA	1
54 x 41 cm.	NA	NA	NA	NA	1
54 x 45 cm.	NA	NA	NA	NA	1
54 x 46 cm.	NA	NA	NA	NA	1
55 x 15 cm.	NA	NA	NA	NA	1
55 x 27 cm.	NA	NA	NA	NA	1
55 x 41 cm.	NA	NA	NA	NA	1
55 x 42 cm.	NA	NA	NA	NA	1
55 x 47 cm.	NA	NA	NA	NA	1
55 x 74 cm.	NA	NA	NA	NA	1
56 x 33 cm.	NA	NA	NA	NA	1
56 x 38 cm.	NA	NA	NA	NA	1
56 x 41 cm.	NA	NA	NA	NA	1
56 x 43 cm.	NA	NA	NA	NA	1
56 x 47 cm.	NA	NA	NA	NA	1
57 x 34 cm.	NA	NA	NA	NA	1
57 x 44 cm.	NA	NA	NA	NA	1
57 x 45 cm.	NA	NA	NA	NA	1
58 x 39 cm.	NA	NA	NA	NA	1
58 x 41 cm.	NA	NA	NA	NA	1
58 x 44 cm.	NA	NA	NA	NA	1
58 x 47 cm.	NA	NA	NA	NA	1
58 x 48 cm.	NA	NA	NA	NA	1
59 x 42 cm.	NA	NA	NA	NA	1
59 x 43 cm.	NA	NA	NA	NA	1
59 x 46 cm.	NA	NA	NA	NA	1
59 x 49 cm.	NA	NA	NA	NA	1
59 x 50 cm.	NA	NA	NA	NA	1
6 x 7 cm.	NA	NA	NA	NA	1
6.1 x 4.6 cm.	NA	NA	NA	NA	1
60 x 44 cm.	NA	NA	NA	NA	1
60 x 46 cm.	NA	NA	NA	NA	1
60 x 47 cm.	NA	NA	NA	NA	1
60 x 48 cm.	NA	NA	NA	NA	1
60 x 95 cm.	NA	NA	NA	NA	1
61 x 41 cm.	NA	NA	NA	NA	1
61 x 48 cm.	NA	NA	NA	NA	1
62 x 47 cm.	NA	NA	NA	NA	1
63 x 44 cm.	NA	NA	NA	NA	1
63 x 50 cm.	NA	NA	NA	NA	1
64 x 27 cm.	NA	NA	NA	NA	1
65 x 44 cm.	NA	NA	NA	NA	1
69 x 49 cm.	NA	NA	NA	NA	1
7 x 10 cm.	NA	NA	NA	NA	1
7 x 14 cm.	NA	NA	NA	NA	1
7 x 15 cm.	NA	NA	NA	NA	1
7 x 16 cm.	NA	NA	NA	NA	1
7 x 17 cm.	NA	NA	NA	NA	1
7 x 18 cm.	NA	NA	NA	NA	1
7 x 20 cm.	NA	NA	NA	NA	1
7 x 9 cm.	NA	NA	NA	NA	1
70 x 49 cm.	NA	NA	NA	NA	1
78 x 20 cm.	NA	NA	NA	NA	1
8 x 11 cm.	NA	NA	NA	NA	1
8 x 15 cm.	NA	NA	NA	NA	1
8 x 18 cm.	NA	NA	NA	NA	1
8 x 20 cm.	NA	NA	NA	NA	1
8 x 21 cm.	NA	NA	NA	NA	1
8₀	NA	NA	NA	0	1
8⁰ (4⁰).	NA	NA	NA	0	1
8⁰ &amp; 4⁰.	NA	NA	NA	0	1
8⁰ 1 volvelle.	NA	NA	NA	0	1
8⁰.pages]	NA	NA	NA	0	1
85 mm.	NA	NA	NA	0	1
85 x 84 mm.	NA	NA	NA	0	1
89 x 56 cm.	NA	NA	NA	NA	1
8in4s [fewer than 50 pages]	NA	NA	NA	0	1
8º.	NA	NA	NA	0	1
9 x 12 cm.	NA	NA	NA	NA	1
9 x 14 cm.	NA	NA	NA	NA	1
9 x 18 cm.	NA	NA	NA	NA	1
9⁰.	NA	NA	NA	0	1
95 mm.	NA	NA	NA	0	1
96⁰.	NA	NA	NA	0	1
Broadside 39 x 30 cm.	NA	NA	NA	NA	1
Broadside; 38 x 32 cm.	NA	NA	NA	NA	1
Broadside. 35 x 24 cm.	NA	NA	NA	NA	1
c1/2⁰.	NA	NA	NA	0	1
c1/4⁰.	NA	NA	NA	0	1
c4⁰.	NA	NA	NA	0	1
ca. 37 x 26 cm.	NA	NA	NA	NA	1
caption title;	NA	NA	NA	0	1
cm. (.	NA	NA	NA	0	1
ill.	NA	NA	NA	0	1
ill. (relief cut)	NA	NA	NA	0	1
l8 cm.	NA	NA	NA	0	1
long 1/4⁰ (30 x 12 cm.).	NA	NA	NA	NA	1
long 24�	NA	NA	NA	0	1
nar.1⁰.	NA	NA	NA	0	1
ob. l8⁰.	NA	NA	NA	0	1
ob.1/2⁰.	NA	NA	NA	0	1
obl. 1/2.	NA	NA	NA	1	1
obl. 1/6⁰.	NA	NA	NA	1	1
obl. 1/8.	NA	NA	NA	1	1
obl. 2⁰ and 4⁰.	NA	NA	NA	1	1
obl. 4 D}0.	NA	NA	NA	1	1
obl. 8	NA	NA	NA	1	1
obl. c1/2⁰.	NA	NA	NA	1	1
obl.2⁰ and 8⁰.	NA	NA	NA	1	1
obl.slip.	NA	NA	NA	1	1
obl/2⁰.	NA	NA	NA	1	1
obl8	NA	NA	NA	1	1
oblong 1⁰.	NA	NA	NA	1	1
oblsixes [fewer than 50 pages]	NA	NA	NA	1	1
s.sh.fol	NA	NA	NA	0	1
s.sh.fol.?	NA	NA	NA	0	1
s.sh.ob.fol.	NA	NA	NA	0	1
sm. 4⁰; lge. 4⁰.	NA	NA	NA	0	1
Various formats.	NA	NA	NA	0	1
