original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	n	n_cum	f	f_cum
45 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481039	0	99.9
45 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481040	0	99.9
45 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481041	0	99.9
45 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481042	0	99.9
45 X 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481043	0	99.9
45 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481044	0	99.9
45 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481045	0	99.9
45 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481046	0	99.9
45 x 33 cm.1⁰.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	481047	0	99.9
45 x 37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481048	0	99.9
45 x 52 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481049	0	99.9
45 x 55 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481050	0	99.9
45-48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481051	0	99.9
45-49 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481052	0	99.9
45-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481053	0	99.9
45-51 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481054	0	99.9
45-54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481055	0	99.9
45-55 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481056	0	99.9
45-63 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481057	0	99.9
45-72 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481058	0	99.9
45cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481059	0	99.9
46 cm (1/2⁰)	2fo	NA	46	FALSE	2fo	30	46	0	1380	1	481060	0	99.9
46 cm (1⁰)	1to	NA	46	FALSE	2fo	30	46	0	1380	1	481061	0	99.9
46 cm (2⁾	NA	NA	46	FALSE	NA	30	46	NA	1380	1	481062	0	99.9
46 cm (2⁰).	2fo	NA	46	FALSE	2fo	30	46	0	1380	1	481063	0	99.9
46 cm. (1/2⁰)	2fo	NA	46	FALSE	2fo	30	46	0	1380	1	481064	0	99.9
46 cm(2⁰)	2fo	NA	46	FALSE	2fo	30	46	0	1380	1	481065	0	99.9
46 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481066	0	99.9
46 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481067	0	99.9
46 X 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481068	0	99.9
46 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481069	0	99.9
46 x 37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481070	0	99.9
46 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481071	0	99.9
46 x 39 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481072	0	99.9
46 x 40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481073	0	99.9
46-48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481074	0	99.9
46-49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481075	0	99.9
46-54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481076	0	99.9
46-63 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481077	0	99.9
47 cm (1/2⁰)	2fo	NA	47	FALSE	2fo	30	47	0	1410	1	481078	0	99.9
47 cm (1⁰)	1to	NA	47	FALSE	2fo	30	47	0	1410	1	481079	0	99.9
47 lines.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481080	0	99.9
47 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481081	0	99.9
47 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481082	0	99.9
47 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481083	0	99.9
47 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481084	0	99.9
47 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481085	0	99.9
47 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481086	0	99.9
47 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481087	0	99.9
47 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481088	0	99.9
47-48 cm. (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481089	0	99.9
47-52 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481090	0	99.9
47cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481091	0	99.9
48 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481092	0	99.9
48 x 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481093	0	99.9
48 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481094	0	99.9
48 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481095	0	99.9
48 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481096	0	99.9
48 x 37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481097	0	99.9
48 x 40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481098	0	99.9
48-50 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481099	0	99.9
48-53 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481100	0	99.9
48-55 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481101	0	99.9
48-56 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481102	0	99.9
4⁸.	4to	NA	NA	FALSE	4to	22	28	0	616	1	481103	0	99.9
48mo	48mo	NA	NA	FALSE	48mo	6.5	10	0	65	1	481104	0	99.9
49 cm (1/2⁰, 2⁰)	2fo	NA	49	FALSE	2fo	31	49	0	1519	1	481105	0	99.9
49 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481106	0	99.9
49 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481107	0	99.9
49 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481108	0	99.9
49 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481109	0	99.9
49 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481110	0	99.9
49 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481111	0	99.9
49 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481112	0	99.9
49 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481113	0	99.9
49 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481114	0	99.9
49 x 36 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481115	0	99.9
49 x 48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481116	0	99.9
49-50 cm. (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481117	0	99.9
49-51 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481118	0	99.9
49-55 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481119	0	99.9
4⁹,	4to	NA	NA	FALSE	4to	22	28	0	616	1	481120	0	99.9
49.3 x 32.5 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481121	0	99.9
4c⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481122	0	99.9
4o.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481123	0	99.9
4to (24 cm.)	4to	NA	24	FALSE	4to	19	24	0	456	1	481124	0	99.9
4to; fol.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481125	0	99.9
4to.	4to	NA	NA	FALSE	4to	22	28	0	616	1	481126	0	99.9
4�.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481127	0	99.9
5 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481128	0	99.9
5.0 cm.	NA	NA	5	FALSE	64mo	4	5	0	20	1	481129	0	99.9
5.2 cm.	NA	NA	5.2	FALSE	64mo	4	5.2	0	20.8	1	481130	0	99.9
5.5 x 4 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481131	0	99.9
5.6 cm.	NA	NA	5.6	FALSE	NA	4	5.6	NA	22.4	1	481132	0	99.9
50 cm. (2⁰) :	2fo	NA	50	FALSE	2fo	32	50	0	1600	1	481133	0	99.9
50 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481134	0	99.9
50 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481135	0	99.9
50 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481136	0	99.9
50 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481137	0	99.9
50 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481138	0	99.9
50 x 42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481139	0	99.9
50-51 cm. (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481140	0	99.9
50-53 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481141	0	99.9
50-54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481142	0	99.9
50-56 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481143	0	99.9
50-59 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481144	0	99.9
50-60 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481145	0	99.9
50-64 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481146	0	99.9
50-76 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481147	0	100
51 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481148	0	100
51 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481149	0	100
51 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481150	0	100
51 x 37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481151	0	100
51 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481152	0	100
51 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481153	0	100
51-34 cm (2⁰-obl. 2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481154	0	100
51-54 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481155	0	100
51-58 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481156	0	100
51cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481157	0	100
52 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481158	0	100
52 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481159	0	100
52 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481160	0	100
52 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481161	0	100
52 x 37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481162	0	100
52 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481163	0	100
52 x 45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481164	0	100
52 x 49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481165	0	100
52 x 65 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481166	0	100
52-55 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481167	0	100
53 cm (2⁰)	2fo	NA	53	FALSE	2fo	33	53	0	1749	1	481168	0	100
53 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481169	0	100
53 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481170	0	100
53 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481171	0	100
53 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481172	0	100
53 x 43.5 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481173	0	100
53 x 45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481174	0	100
53 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481175	0	100
53 x 60 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481176	0	100
53 x 62 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481177	0	100
54 cm. (2⁰)	2fo	NA	54	FALSE	2fo	34	54	0	1836	1	481178	0	100
54 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481179	0	100
54 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481180	0	100
54 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481181	0	100
54 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481182	0	100
54 x 36 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481183	0	100
54 x 39 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481184	0	100
54 x 40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481185	0	100
54 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481186	0	100
54 x 45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481187	0	100
54 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481188	0	100
55 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481189	0	100
55 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481190	0	100
55 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481191	0	100
55 x 42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481192	0	100
55 x 47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481193	0	100
55 x 74 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481194	0	100
56 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481195	0	100
56 x 38 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481196	0	100
56 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481197	0	100
56 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481198	0	100
56 x 47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481199	0	100
57 cm.	NA	NA	57	FALSE	NA	35	57	NA	1995	1	481200	0	100
57 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481201	0	100
57 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481202	0	100
57 x 45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481203	0	100
58 cm.	NA	NA	58	FALSE	NA	36	58	NA	2088	1	481204	0	100
58 x 39 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481205	0	100
58 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481206	0	100
58 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481207	0	100
58 x 47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481208	0	100
58 x 48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481209	0	100
59 x 42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481210	0	100
59 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481211	0	100
59 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481212	0	100
59 x 49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481213	0	100
59 x 50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481214	0	100
6 x 7 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481215	0	100
6.1 x 4.6 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481216	0	100
60 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481217	0	100
60 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481218	0	100
60 x 47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481219	0	100
60 x 48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481220	0	100
60 x 95 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481221	0	100
61 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481222	0	100
61 x 48 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481223	0	100
62 x 47 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481224	0	100
63 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481225	0	100
63 x 50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481226	0	100
64 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481227	0	100
64.	64mo	NA	NA	FALSE	64mo	5	7	0	35	1	481228	0	100
64⁰	64mo	NA	NA	FALSE	64mo	5	7	0	35	1	481229	0	100
64⁰ in 16's.	64mo	NA	NA	FALSE	64mo	5	7	0	35	1	481230	0	100
64mo	64mo	NA	NA	FALSE	64mo	5	7	0	35	1	481231	0	100
65 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481232	0	100
69 cm.	NA	NA	69	FALSE	NA	42	69	NA	2898	1	481233	0	100
69 x 49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481234	0	100
7 cm.	NA	NA	7	FALSE	64mo	5	7	0	35	1	481235	0	100
7 cm. (48mo)	48mo	NA	7	FALSE	48mo	10	7	0	70	1	481236	0	100
7 x 10 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481237	0	100
7 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481238	0	100
7 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481239	0	100
7 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481240	0	100
7 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481241	0	100
7 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481242	0	100
7 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481243	0	100
7 x 9 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481244	0	100
7.9 cm.	NA	NA	7.9	FALSE	NA	6	7.9	NA	47.4	1	481245	0	100
70 x 49 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481246	0	100
78 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481247	0	100
8 &amp; 2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481248	0	100
8 p. ;; 4⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	1	481249	0	100
8 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481250	0	100
8 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481251	0	100
8 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481252	0	100
8 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481253	0	100
8 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481254	0	100
8)	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481255	0	100
8₀	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481256	0	100
8⁰ (16 cm.).	8vo	NA	16	FALSE	8vo	11	16	0	176	1	481257	0	100
8⁰ (19-21 cm.).	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481258	0	100
8⁰ (20-21 cm.).	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481259	0	100
8⁰ (21 cm.)	8vo	NA	21	FALSE	8vo	14	21	0	294	1	481260	0	100
8⁰ (22-24 cm.).	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481261	0	100
8⁰ (24 cm.).	8vo	NA	24	FALSE	8vo	15	24	0	360	1	481262	0	100
8⁰ (4⁰).	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481263	0	100
8⁰ (untrimmed)	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481264	0	100
8⁰ &amp; 4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481265	0	100
8⁰ +	8long	NA	NA	FALSE	8long	13	22	0	286	1	481266	0	100
8⁰ + 2 cards.	8long	NA	NA	FALSE	8long	13	22	0	286	1	481267	0	100
8⁰ 1 map.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481268	0	100
8⁰ 1 volvelle.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481269	0	100
8⁰ in 10.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481270	0	100
8⁰ in 12's.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481271	0	100
8⁰ in 2.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481272	0	100
8⁰ in 4.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481273	0	100
8⁰ in 4s	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481274	0	100
8⁰ obl.	8vo	NA	NA	TRUE	8vo	19	13	1	247	1	481275	0	100
8⁰ p.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481276	0	100
8⁰:	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481277	0	100
8⁰..	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481278	0	100
8⁰.pages]	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481279	0	100
8⁰)	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481280	0	100
85 mm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481281	0	100
85 x 84 mm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481282	0	100
89 x 56 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481283	0	100
8in4s [fewer than 50 pages]	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481284	0	100
8º.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481285	0	100
8vo	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481286	0	100
8vo; 8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481287	0	100
8vo.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481288	0	100
9 cm (24⁰)	24mo	NA	9	FALSE	24mo	9	12	0	108	1	481289	0	100
9 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481290	0	100
9 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481291	0	100
9 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481292	0	100
9⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481293	0	100
91 cm.	NA	NA	91	FALSE	NA	55	91	NA	5005	1	481294	0	100
95 mm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481295	0	100
96⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481296	0	100
9cm.	NA	NA	9	FALSE	NA	6	9	NA	54	1	481297	0	100
Broadside 39 x 30 cm.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	481298	0	100
Broadside, printed on 1 side.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	481299	0	100
Broadside; 38 x 32 cm.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	481300	0	100
Broadside. 35 x 24 cm.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	481301	0	100
c1/2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481302	0	100
c1/4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481303	0	100
c4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481304	0	100
ca. 37 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481305	0	100
caption title; octavo	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481306	0	100
coat of arms ;; 8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481307	0	100
duodecimo 12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	1	481308	0	100
fol. (2 or more)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481309	0	100
l8 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481310	0	100
large 2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	1	481311	0	100
large 8⁰ in 4's.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481312	0	100
lng 12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	1	481313	0	100
lon. 24⁰	24long	NA	NA	FALSE	24long	9.5	14	0	133	1	481314	0	100
lon. 8⁰.	8long	NA	NA	FALSE	8long	13	22	0	286	1	481315	0	100
long 1/4⁰ (30 x 12 cm.).	4long	NA	NA	FALSE	4long	27	35	0	945	1	481316	0	100
long 1/8⁰.	8long	NA	NA	FALSE	8long	13	22	0	286	1	481317	0	100
long 12.	12long	NA	NA	FALSE	12long	13	20	0	260	1	481318	0	100
long 12⁰?	12long	NA	NA	FALSE	12long	13	20	0	260	1	481319	0	100
long 16⁰.	16long	NA	NA	FALSE	16long	14	18	0	252	1	481320	0	100
long 24�	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481321	0	100
Long12⁰.	12long	NA	NA	FALSE	12long	13	20	0	260	1	481322	0	100
nar.1⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481323	0	100
oats of arms (woodcuts);; 8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	1	481324	0	100
ob. 1⁰.	1to	NA	NA	FALSE	2fo	30	45	0	1350	1	481325	0	100
ob. l8⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481326	0	100
ob.1/2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	1	481327	0	100
obl 1⁰	1to	NA	NA	TRUE	2fo	45	30	1	1350	1	481328	0	100
Obl 1⁰.	1to	NA	NA	TRUE	2fo	45	30	1	1350	1	481329	0	100
obl 12⁰.	12mo	NA	NA	TRUE	12mo	19	12.5	1	237.5	1	481330	0	100
obl 2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	1	481331	0	100
obl. 1/18⁰? (6 x 10 cm)	18mo	NA	NA	TRUE	18mo	16	10	1	160	1	481332	0	100
